"Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","County","Location","Latitude","Longitude","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","Species.Comments","Checklist.Comments","Type.1","Grid.no","AM.PM","Segment","Habitat","Sal","Mix","Grass","Range","Species.category","valid"
"S35306142","Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus",352,8,"IN-MP","Balaghat","22.1701x81.0028 - 18-Mar-2017, 12:40 PM",22.170092,81.00285,"03-18-2017","12:39 PM","eBird - Stationary Count",16,1,NA,NA,6,"","","Peeparwada Lake ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35323651","Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus",352,8,"IN-MP","Balaghat","IN-Madhya Pradesh-Unnamed Road - 22.17x81.003 - 20 Mar 2017 09:35",22.169817,81.0029242,"03-19-2017","10:18 AM","eBird - Traveling Count",60,1,5,NA,4,"","","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323661","Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus",352,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","10:27 AM","eBird - Stationary Count",24,1,NA,NA,5,"","","Jami Talav  Basinkhar  22.11365, 80.74565  +Jungle Cat","Water","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35306353","Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus",352,7,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","02:00 PM","eBird - Stationary Count",70,1,NA,NA,7,"","","Sondar lake, both sides of the road. ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35387479","Cotton Pygmy-Goose (Cotton Teal)","Nettapus coromandelianus",352,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","06:15 AM","eBird - Traveling Count",180,1,20,NA,3,"","","Driving from mukhi gate to khatia gate","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323511","Northern Pintail","Anas acuta",446,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","07:14 AM","eBird - Traveling Count",49,1,0.4,NA,5,"","","22.292096/80.526056 Transect--point start to 400 meter","Transect","E3","AM",1,"Sal 1.0",1,0,0,"Kisli","species",1
"S35323753","Garganey","Anas querquedula",460,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-20-2017","07:04 AM","eBird - Casual Observation",NA,0,NA,NA,6,"","","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323511","Green-winged Teal (Common Teal)","Anas crecca",462,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-19-2017","07:14 AM","eBird - Traveling Count",49,1,0.4,NA,5,"","","22.292096/80.526056 Transect--point start to 400 meter","Transect","E3","AM",1,"Sal 1.0",1,0,0,"Kisli","species",1
"S35323574","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","1 Unknown Location - 22.169x80.941 - 18-Mar-2017 6:21 AM",22.1691033,80.9410067,"03-18-2017","06:21 AM","eBird - Stationary Count",15,1,NA,NA,4,"","","Kanha Bird Survey-2017","Transect","G11","AM",1,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35323417","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","22.1467x80.9185 - 18-Mar-2017, 5:39 PM",22.146685,80.918475,"03-18-2017","05:39 PM","eBird - Traveling Count",8,1,0.2,NA,3,"","Female ","Post lunch session G10 - Otessara Transect  Last list for transect - 22.08419 x 80.55077","Transect","G10","PM",10,"Sal 1.0",1,0,0,"Supkhar","species",1
"S35306200","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","22.1496x80.9176 - 18-Mar-2017, 7:57 AM",22.14955,80.917579,"03-18-2017","07:57 AM","eBird - Traveling Count",15,1,0.2,NA,3,""," Call","G10 - Transect Name - Otessara","Transect","G10","AM",8,"Sal 1.0",1,0,0,"Supkhar","species",1
"S35306185","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","22.1546x80.9202 - 18-Mar-2017, 9:22 AM",22.154626,80.920208,"03-18-2017","09:22 AM","eBird - Stationary Count",15,1,NA,NA,3,"","Call","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35306214","Indian Peafowl","Pavo cristatus",1008,4,"IN-MP","Balaghat","22.1589x80.9158 - 18-Mar-2017, 6:35 AM",22.158902,80.915849,"03-18-2017","06:35 AM","eBird - Traveling Count",15,1,0.2,NA,3,"","Call","G10 - Transect Name - Otessara","Transect","G10","AM",2,"Sal 1.0",1,0,0,"Supkhar","species",1
"S35306216","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","22.1606x80.9156 - 18-Mar-2017, 6:20 AM",22.160638,80.915574,"03-18-2017","06:20 AM","eBird - Traveling Count",15,1,0.2,NA,3,"","Call","","Transect","G10","AM",1,"Sal 1.0",1,0,0,"Supkhar","species",1
"S35323599","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","22.176x80.936 - 20-Mar-2017 9:11 AM",22.175785,80.935675,"03-18-2017","07:58 AM","eBird - Stationary Count",15,1,NA,NA,4,"","","Kanha Bird Survey-2017","Transect","G11","AM",7,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35323414","Indian Peafowl","Pavo cristatus",1008,5,"IN-MP","Balaghat","22.1848x80.9334 - 18-Mar-2017, 6:36 PM",22.184786,80.933379,"03-18-2017","06:33 PM","eBird - Casual Observation",NA,0,NA,NA,3,"","","Started from the Bridge on Halon River ","Water","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35306143","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","22.1881x80.9910 - 18-Mar-2017, 12:25 PM",22.188113,80.991006,"03-18-2017","12:23 PM","eBird - Casual Observation",NA,0,NA,NA,6,"","","","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35323357","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","22.2071x80.6965 - 20-Mar-2017, 6:46 AM",22.207055,80.696489,"03-20-2017","06:46 AM","eBird - Casual Observation",NA,0,NA,NA,3,"","Male ","Return trip ","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35323408","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","22.2630x80.9791 - 19-Mar-2017, 6:23 AM",22.262974,80.979136,"03-19-2017","06:23 AM","eBird - Traveling Count",16,1,0.2,NA,3,"","Call","Transect Name - Rol.   Shrike pic at 8.33 am","Transect","E12","AM",1,"Sal 1.0",1,0,0,"Supkhar","species",1
"S35365184","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","Grid H9 Transect,Segment 3, Jholar Range, Kanha Tiger Reserve",22.12304,80.83635,"03-18-2017","07:17 AM","eBird - Traveling Count",25,1,0.2,NA,6,"","Heard","Grid - H9, Segment 3, clear and sunny, travelling towards north, mixed deciduous forest, canopy cover is 50%","Transect","H9","AM",3,"Mix 1.0",0,1,0,"Bhaisanghat","species",1
"S35365175","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","H10 Grid Transect, Segment 1, Sukhdi Range, Kanha Tiger Reserve",22.13902,80.89478,"03-19-2017","07:00 AM","eBird - Traveling Count",25,1,0.2,NA,5,"","Heard","H10 grid, Segment 1, Transect passes through edge of forest  patch on a small hillock.. RHS of Transect is a 500m wide grass land patch and LHS is thick forest. Weather is sunny and sky is clear.","Transect","H10","AM",1,"",NA,NA,NA,"Bhaisanghat","species",1
"S35365173","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","H10 Grid Transect, Segment 2, Sukhdi Range, Kanha Tiger Reserve",22.13843,80.8965,"03-19-2017","07:25 AM","eBird - Traveling Count",41,1,0.2,NA,5,"","Heard","Grid H10, Sukhdi Range. Segment 2. Transect is on the top of a hillock cutting through ravines/gorges. This segment has grassland patch on RHS and forest on LHS.","Transect","H10","AM",2,"",NA,NA,NA,"Bhaisanghat","species",1
"S35340898","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","IN - 22.165x80.831 - Mar 20, 2017 9:52 AM",22.1653433,80.8311617,"03-18-2017","06:44 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","","G9 Advar segment 4","Transect","G9","AM",4,"",NA,NA,NA,"Bhaisanghat","species",1
"S35323725","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","IN - 22.171x81.006 - 20-Mar-2017 9:25 AM",22.1708733,81.0062383,"03-19-2017","03:45 PM","eBird - Stationary Count",15,1,NA,NA,4,"","","Kanha Bird Survey-2017","Transect","G12","PM",1,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35340905","Indian Peafowl","Pavo cristatus",1008,3,"IN-MP","Balaghat","IN-Madhya Pradesh-Adwar - 22.159x80.827 - Mar 18, 2017 6:17 AM",22.1591867,80.8265917,"03-18-2017","06:18 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","","G9 Advar segment 1","Transect","G9","AM",1,"",NA,NA,NA,"Bhaisanghat","species",1
"S35323586","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","IN-Madhya Pradesh-Chakarwaha - 22.173x80.938 - 20-Mar-2017 9:10 AM",22.172735,80.9378433,"03-18-2017","07:01 AM","eBird - Stationary Count",15,1,NA,NA,4,"","Call","Kanha Bird Survey-2017","Transect","G11","AM",4,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35323643","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","IN-Madhya Pradesh-Chakarwaha - 22.175x80.937 - 20-Mar-2017 9:18 AM",22.17465,80.9367517,"03-18-2017","05:00 PM","eBird - Stationary Count",15,1,NA,NA,4,"","","Kanha Bird Survey-2017","Transect","G11","PM",5,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35323667","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Balaghat","IN-Madhya Pradesh-Chakarwaha - 22.181x80.932 - 20-Mar-2017 9:20 AM",22.1807033,80.9321583,"03-18-2017","06:00 PM","eBird - Stationary Count",15,1,NA,NA,4,"","","Kanha Bird Survey-2017","Transect","G11","PM",9,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35323633","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Balaghat","IN-Madhya Pradesh-Unnamed Road - 22.193x80.972 - 20 Mar 2017 09:32",22.1925625,80.9724175,"03-19-2017","03:12 PM","eBird - Traveling Count",30,1,10,NA,2,"","","","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35350579","Indian Peafowl","Pavo cristatus",1008,4,"IN-MP","Balaghat","Kanha_IN-Madhya Pradesh-Bilaikhar-Unnamed Road - 22.235x80.84",22.2353938,80.8404041,"03-20-2017","07:24 AM","eBird - Traveling Count",135,1,55,NA,4,"","","Photographs by Mr.Jitesh Pande  Bamni dadar.....Top highest most place of kanha    leaf bird","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35344798","Indian Peafowl","Pavo cristatus",1008,4,"IN-MP","Balaghat","kanhaBirdSurvey22.214x80.904 - Mar 19, 2017 10:20 PM",22.2139701,80.9035598,"03-19-2017","06:29 PM","eBird - Stationary Count",30,1,NA,NA,3,"","","Kanha Bird Survey 2017","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35350584","Indian Peafowl","Pavo cristatus",1008,4,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-17-2017","06:00 PM","eBird - Casual Observation",NA,0,NA,NA,1,"","","Birds seen or heard during the stay Kanha ","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35306232","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-18-2017","07:15 AM","eBird - Traveling Count",40,1,0.2,NA,5,"","Heard only ","End   Lat: 22.336718  Long: 80.75937    Habitat type: Thick bamboo forest and fruiting trees    Quite a few birds were observed on these fruiting trees     C5 - segment2","Transect","C5","AM",2,"Mix 1.0",0,1,0,"Sarhi","species",1
"S35306235","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","IN-Madhya Pradesh-Kanha National Park - 22.3066x80.5215 - 18-Mar-2017, 6:40 PM",22.306559,80.521495,"03-18-2017","07:55 AM","eBird - Traveling Count",20,1,0.2,NA,5,"","","End  Lat: 22.33471  Long: 80.65944    Habitat type: Thick bamboo forest    C5 - segment3","Transect","C5","AM",3,"Mix 1.0",0,1,0,"Sarhi","species",1
"S35323551","Indian Peafowl","Pavo cristatus",1008,5,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-17-2017","06:00 PM","eBird - Traveling Count",77,0,20,NA,4,"","","","General","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35323922","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-17-2017","06:30 PM","eBird - Stationary Count",5,1,NA,NA,1,"","","Hawa mahal, kisli","Nocturnal","","PM",NA,"",NA,NA,NA,NA,"species",1
"S35323499","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","04:55 AM","eBird - Stationary Count",4,1,NA,NA,2,"","Heard","From the cottage","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35344871","Indian Peafowl","Pavo cristatus",1008,3,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","05:57 AM","eBird - Casual Observation",NA,0,NA,NA,5,"","","","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35508356","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:00 AM","eBird - Casual Observation",NA,0,NA,NA,5,"","","En route in the morning ","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35508318","Indian Peafowl","Pavo cristatus",1008,4,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:01 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","Call from different locations","(1) N 22°13°23.66'       E80°55°26.42'   Name Of Range : SUPKHAR  Name of Grid     :  07 /  F11   FG                        :  JOKPANI  PLACE                 :   JAITPURI ( ACCOMADATION / 2,  VEHICLE / BULERO 09)  PERSONS            :   (1)LAKSHMIKANT RAJARAM NEVE, (2)Prabhakar.S.JOSHI,(3)JITESH PANDE                                    (4)BAUDH SHRAVAN KULIHA(FOREST GUARD),(5)HARLAL(CAMP LABOUR),(6)DAYAL(CAMP                               LABOUR)  First Lap of 200M....06.14 To 06.27 AM &#61; 13 MIN    [ Habitat was Dense Jungle area with Saal +Bamboos throughout all Laps of 200 Meters each.Fifth Lap almost covered with Bamboo only....Big & Wide Bamboo Lap ]    Roughous Treepie called KURLU in local Language.  WhiteThroatedBarbet called KUTRU in local Languages.  BlackDrongo called Chatu in Local language.  Plumheaded Parakeet called Bhalai.  JungleBabler called Ghegha.    Continous Updation in process ref to Audio Calls & photographs.  Most of the photographs shoot by our Mr.Jitesh Pande","Transect","F11","AM",1,"Mix 1.0",0,1,0,"Supkhar","species",1
"S35508354","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:18 AM","eBird - Stationary Count",6,1,NA,NA,5,"","","At the camp mundedadar","General","","AM",NA,"",NA,NA,NA,NA,"species",1
"S35407957","Indian Peafowl","Pavo cristatus",1008,8,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:22 AM","eBird - Traveling Count",17,1,0.2,NA,6,"","","Team Baza  Location E5 kanhari 1 - 22.2762880.64629  Pure sal, langur, spotted deer, barasingha, black buck,","Transect","E5","AM",1,"Sal 1.0",1,0,0,"Kanha","species",1
"S36143272","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:23 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","","G5  TR-01, Segment-3  22°10'06.7"", 80°38'58.0""  Jagat Flora, Deepa Mohan, Sanjay Gupta, Rahul Pandit","Transect","G5","AM",3,"Grass 0.3, Sal 0.7",0.7,0,0.3,"Mukki","species",1
"S35508353","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:35 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","","Segment 1 of transect mundidadar in grid E6  Start point 22.287876 80.678989   Open grassland","Transect","E6","AM",1,"Grass 1.0",0,0,1,"Kanha","species",1
"S35407958","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:40 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","Flying","Team Baza  Location E5 Kanheri 2 - 22.2773980.64542  Pure sal,","Transect","E5","AM",2,"Sal 1.0",1,0,0,"Kanha","species",1
"S35323540","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:45 AM","eBird - Traveling Count",30,0,0.2,NA,4,"","Call","22 13 29.54  80 34 48.68    Alt 668metres              Alt  Hilly terrain Sal20%and miscellaneous","Transect","F4","AM",1,"Sal 0.2, Mix 0.8",0.2,0.8,0,"Mukki","species",1
"S35344514","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:45 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","","Team- Robin Parsatola D5 Segment 1  Lattitude: 22.303944  Longitude: 80.649477  Observer : Ravi Sharma,R.K Dube,Saurabh Bhatanagar,Abhay Kochar,Vilas Mahajan,Sujata Talegaovakar","Transect","D5","AM",1,"Mix 1.0",0,1,0,"Kanha","species",1
"S36143274","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:50 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","","TR-1, Seg-4,lat. 22°10'01.6"", long. 080°39'09.8"", Grassland100","Transect","G5","AM",4,"Grass 1.0",0,0,1,"Mukki","species",1
"S35508352","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:50 AM","eBird - Traveling Count",15,1,0.2,NA,5,"","Heard","Segment 2 of transect mundidadar  in grid E6  400m point 22.290678   80.676652  Open grassland leading to Bamboo grove","Transect","E6","AM",2,"Mix 1.0",0,1,0,"Kanha","species",1
"S35407956","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","06:56 AM","eBird - Traveling Count",28,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari 3 - 22.2793480.64429  Pure grassland. Jackal.","Transect","E5","AM",3,"Grass 1.0",0,0,1,"Kanha","species",1
"S35508351","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:05 AM","eBird - Traveling Count",19,1,0.2,NA,5,"","Heard","Segment 3 of transect mundidadar in grid E6  End at 22.291742 80.65548  Mixed forest dominated by bamboo","Transect","E6","AM",3,"Mix 1.0",0,1,0,"Kanha","species",1
"S36136707","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:06 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","","TR-1, Seg-5,lat.22°09'58.8"", log.080°39'15"", Grassland 50%, Mixed​ forest 50%","Transect","G5","AM",5,"Mix 0.5, Grass 0.5",0,0.5,0.5,"Mukki","species",1
"S35407959","Indian Peafowl","Pavo cristatus",1008,3,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:26 AM","eBird - Traveling Count",19,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari b4 - 22.2803680.64307  Grassland. Langur, Spotted deer.","Transect","E5","AM",4,"Grass 1.0",0,0,1,"Kanha","species",1
"S36143278","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:40 AM","eBird - Traveling Count",15,1,0.2,NA,6,"","","TR-1, Seg-7, Lat..22°09'51.4"", long. 080°39'25.3"", Sal forest 100%","Transect","G5","AM",7,"Sal 1.0",1,0,0,"Mukki","species",1
"S35407960","Indian Peafowl","Pavo cristatus",1008,2,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:46 AM","eBird - Traveling Count",13,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari 5 - 22.2821080.28363  Grassland and misc forest. Langur, tiger scrape marks.","Transect","E5","AM",5,"Grass 0.5, Mix 0.5",0,0.5,0.5,"Kanha","species",1
"S35344502","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","07:58 AM","eBird - Traveling Count",20,1,0.2,NA,6,"","","Team Name- Robin Parsatola D5 Segment 5  Starting  Lattitude: 22.302508  Longitude:80.640037  Observer : Ravi Sharma,R.K Dube,Saurabh Bhatanagar,Abhay Kochar,Vilas Mahajan,Sujata Talegaovakar","Transect","D5","AM",5,"Mix 1.0",0,1,0,"Kanha","species",1
"S35407962","Indian Peafowl","Pavo cristatus",1008,3,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","08:00 AM","eBird - Traveling Count",16,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari b6 - 22.3376080.59565  Mixed deciduous. Langur, tiger scratch on jamun tree n scrap marks on ground.","Transect","E5","AM",6,"Mix 1.0",0,1,0,"Kanha","species",1
"S35344501","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","08:08 AM","eBird - Traveling Count",11,1,0.2,NA,6,"","","Team Name Robin Parsatola D5 Segment 6  Starting  Lattitude: 22.302589  Longitude:80.637378  Observer : Ravi Sharma,R.K Dube,Saurabh Bhatanagar,Abhay Kochar,Vilas Mahajan,Sujata Talegaovakar","Transect","D5","AM",6,"Mix 1.0",0,1,0,"Kanha","species",1
"S35407963","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","08:18 AM","eBird - Traveling Count",17,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari 7 - 22.2851180.64012  Mixed deciduous. Spotted deer.","Transect","E5","AM",7,"Mix 1.0",0,1,0,"Kanha","species",1
"S35407964","Indian Peafowl","Pavo cristatus",1008,1,"IN-MP","Mandla","Kanha Tiger Reserve",22.2954497,80.5957031,"03-18-2017","08:36 AM","eBird - Traveling Count",39,1,0.2,NA,6,"","","Team Baza  Location E5 Kanhari 8 - 22.2867980.63931  Mixed deciduous.","Transect","E5","AM",8,"Mix 1.0",0,1,0,"Kanha","species",1
